episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.7203157431294028,False,tempered_reward,60,0.1,0.007412521435275846,False
1,0.7937673439056016,True,tempered_reward,60,0.1,-0.0008316754942396531,False
2,0.7494493500528453,False,tempered_reward,60,0.1,0.001396208975741753,False
3,0.8036411248011236,True,tempered_reward,60,0.1,-0.0014478638691089525,False
4,0.8193665207400367,True,tempered_reward,60,0.1,0.0014046541945669808,False
5,0.8254706646462859,True,tempered_reward,60,0.1,-0.00012039292674107527,False
6,0.7498069345032818,False,tempered_reward,60,0.1,-0.0003349133960765786,False
7,0.8508388399811931,True,tempered_reward,60,0.1,-4.7234571236790904e-05,False
8,0.7741697128391818,True,tempered_reward,60,0.1,0.00020578185634466858,False
9,0.8429900972060564,True,tempered_reward,60,0.1,-9.541775110362138e-05,False
10,0.8122168494788452,True,tempered_reward,60,0.1,0.0005402237443799807,False
11,0.8956812186623321,True,tempered_reward,60,0.1,0.0008934636970550876,False
12,0.7965055108776963,True,tempered_reward,60,0.1,-0.0018018961527909974,False
13,0.8119824558760497,True,tempered_reward,60,0.1,0.0012132117623278981,False
14,0.8561176222407412,True,tempered_reward,60,0.1,0.0003555528885691328,False
15,0.8575391567731665,True,tempered_reward,60,0.1,-0.001405956228738046,False
16,0.8181792559237837,True,tempered_reward,60,0.1,0.001399516808930773,False
17,0.8684651202433628,True,tempered_reward,60,0.1,-0.0005512526460754119,False
18,0.8598902103762079,True,tempered_reward,60,0.1,-1.9026829315075638e-05,False
19,0.9049226633564392,True,tempered_reward,60,0.1,5.1183804552229486e-05,False
20,0.8230173257909356,True,tempered_reward,60,0.1,0.00020751005585504246,False
21,0.8152240541144733,True,tempered_reward,60,0.1,-7.763747766900511e-05,False
22,0.8005404332781693,True,tempered_reward,60,0.1,-0.0003413362357059931,False
23,0.7803444023613008,True,tempered_reward,60,0.1,-0.00021980207510590894,False
24,0.7982567343480749,True,tempered_reward,60,0.1,-0.0002595638067348545,False
25,0.8410199032697337,True,tempered_reward,60,0.1,0.0003209643879448942,False
26,0.8108394761834361,True,tempered_reward,60,0.1,-0.0005709234260076246,False
27,0.8395874859493146,True,tempered_reward,60,0.1,0.0012391563601625132,False
28,0.8283508364890921,True,tempered_reward,60,0.1,-0.0009902997583966196,False
29,0.8881050379220993,True,tempered_reward,60,0.1,0.000991771460906273,False
30,0.8406756042750789,True,tempered_reward,60,0.1,-0.0007267077204837103,False
31,0.8070449676985822,True,tempered_reward,60,0.1,0.0006546181806296587,False
32,0.8535882824614126,True,tempered_reward,60,0.1,-0.0009834076772617347,False
33,0.8522821209337395,True,tempered_reward,60,0.1,0.0006062108370770851,False
34,0.815384349273619,True,tempered_reward,60,0.1,-5.813163399394454e-05,False
35,0.833003077770101,True,tempered_reward,60,0.1,0.00014831214964906582,False
36,0.7953296237230159,True,tempered_reward,60,0.1,0.0002558816040650151,False
37,0.7987171870448265,True,tempered_reward,60,0.1,-0.0011200956837491025,False
38,0.7911166525129053,True,tempered_reward,60,0.1,0.0010851260765817384,False
39,0.8488781323867303,True,tempered_reward,60,0.1,-0.0013980448250297131,False
40,0.8321410365020302,True,tempered_reward,60,0.1,0.0018594748985937123,False
41,0.8628545356676155,True,tempered_reward,60,0.1,-0.0009785117727836338,False
42,0.7929067543890223,True,tempered_reward,60,0.1,-0.0014633384800286475,False
43,0.8381384077702314,True,tempered_reward,60,0.1,0.0015702061917987084,False
44,0.8653304808707267,True,tempered_reward,60,0.1,0.00027197557268974213,False
